"X","DIC","Set","Pattern","Mesh"
12,-280.432548884214,"Set3","Pattern12","Mesh27"
13,-357.565823775356,"Set3","Pattern13","Mesh27"
14,-358.73846232261,"Set3","Pattern14","Mesh27"
15,-414.073626003699,"Set3","Pattern15","Mesh27"
16,-128.614201233748,"Set4","Pattern16","Mesh27"
17,-604.60155632842,"Set4","Pattern17","Mesh27"
18,-361.701642680175,"Set4","Pattern18","Mesh27"
19,-189.904615325097,"Set4","Pattern19","Mesh27"
20,-729.890112889594,"Set4","Pattern20","Mesh27"
1,-5564.47726113755,"Set1","Pattern1","Mesh28"
2,-5006.11926609834,"Set1","Pattern2","Mesh28"
3,-6134.03590403601,"Set1","Pattern3","Mesh28"
4,-6274.89300056823,"Set1","Pattern4","Mesh28"
5,-5584.18826777653,"Set1","Pattern5","Mesh28"
6,-2890.19259955792,"Set2","Pattern6","Mesh28"
7,-7718.395810146,"Set2","Pattern7","Mesh28"
8,-5690.53343826864,"Set2","Pattern8","Mesh28"
9,-3757.16318531662,"Set2","Pattern9","Mesh28"
10,-10854.6572649678,"Set2","Pattern10","Mesh28"
11,-262.078541714182,"Set3","Pattern11","Mesh28"
12,-280.497372711763,"Set3","Pattern12","Mesh28"
13,-357.901702338073,"Set3","Pattern13","Mesh28"
14,-358.720320471622,"Set3","Pattern14","Mesh28"
15,-414.232591474153,"Set3","Pattern15","Mesh28"
16,-129.164378748047,"Set4","Pattern16","Mesh28"
17,-605.076971823814,"Set4","Pattern17","Mesh28"
18,-361.328106229079,"Set4","Pattern18","Mesh28"
19,-190.154593296932,"Set4","Pattern19","Mesh28"
20,-731.426887126921,"Set4","Pattern20","Mesh28"
1,-5560.83527654644,"Set1","Pattern1","Mesh29"
2,-5004.44161579025,"Set1","Pattern2","Mesh29"
3,-6130.17806804267,"Set1","Pattern3","Mesh29"
4,-6269.19121862106,"Set1","Pattern4","Mesh29"
5,-5580.40408575105,"Set1","Pattern5","Mesh29"
6,-2889.61009526963,"Set2","Pattern6","Mesh29"
7,-7717.97593086786,"Set2","Pattern7","Mesh29"
8,-5688.07369263809,"Set2","Pattern8","Mesh29"
9,-3755.98589017519,"Set2","Pattern9","Mesh29"
10,-10845.3181690042,"Set2","Pattern10","Mesh29"
11,-262.174353469152,"Set3","Pattern11","Mesh29"
12,-280.462543588728,"Set3","Pattern12","Mesh29"
13,-357.333835663942,"Set3","Pattern13","Mesh29"
14,-358.709296063837,"Set3","Pattern14","Mesh29"
15,-413.504244845201,"Set3","Pattern15","Mesh29"
16,-128.626737152057,"Set4","Pattern16","Mesh29"
17,-603.901335199972,"Set4","Pattern17","Mesh29"
18,-361.52506187405,"Set4","Pattern18","Mesh29"
19,-189.432994486732,"Set4","Pattern19","Mesh29"
20,-730.289678888951,"Set4","Pattern20","Mesh29"
1,-5485.38531037949,"Set1","Pattern1","Mesh3"
2,-5628.37837139608,"Set1","Pattern2","Mesh3"
3,-6223.24140610787,"Set1","Pattern3","Mesh3"
4,-7133.13964922095,"Set1","Pattern4","Mesh3"
5,-5686.17548993961,"Set1","Pattern5","Mesh3"
6,-2930.05957440906,"Set2","Pattern6","Mesh3"
7,-8223.12612440164,"Set2","Pattern7","Mesh3"
8,-7561.32614928403,"Set2","Pattern8","Mesh3"
9,-4043.27994798644,"Set2","Pattern9","Mesh3"
10,-11640.5587659435,"Set2","Pattern10","Mesh3"
11,-260.516135824677,"Set3","Pattern11","Mesh3"
12,-279.487000943958,"Set3","Pattern12","Mesh3"
13,-349.267994256656,"Set3","Pattern13","Mesh3"
14,-358.566319381282,"Set3","Pattern14","Mesh3"
15,-400.897070677385,"Set3","Pattern15","Mesh3"
16,-119.750008608432,"Set4","Pattern16","Mesh3"
17,-568.247208228738,"Set4","Pattern17","Mesh3"
18,-347.580783774882,"Set4","Pattern18","Mesh3"
19,-169.552244876849,"Set4","Pattern19","Mesh3"
20,-695.932007805319,"Set4","Pattern20","Mesh3"
1,-5558.95688650831,"Set1","Pattern1","Mesh30"
2,-4997.7857904969,"Set1","Pattern2","Mesh30"
3,-6130.04865897241,"Set1","Pattern3","Mesh30"
4,-6265.35536707936,"Set1","Pattern4","Mesh30"
5,-5568.73941861809,"Set1","Pattern5","Mesh30"
6,-2888.67959954813,"Set2","Pattern6","Mesh30"
7,-7713.94457444801,"Set2","Pattern7","Mesh30"
8,-5687.43169604888,"Set2","Pattern8","Mesh30"
